Region,Vegetables,Personal_care,Milk,Grocery,Plasticware
Rochester,12667,2674,9656,7561,212
Rochester,7058,3293,9810,9568,1757
Rochester,6346,3516,8808,7684,2408
Rochester,13251,507,1196,4221,6407
Rochester,22620,1777,5410,7198,3908
Rochester,9406,1795,8259,5126,665
Rochester,12111,3149,3179,6975,473
Rochester,7567,3311,4956,9426,1668
Rochester,5960,1717,3648,6192,428
Rochester,6007,7424,11093,18881,1157
Rochester,3371,5976,5403,12974,4398
Rochester,13145,542,1124,4523,1423
Rochester,31708,3891,12319,11757,287
Rochester,21219,6708,6208,14982,3091
Rochester,24644,5048,9465,12091,298
Rochester,10240,954,1104,3821,394
Rochester,1007,4515,8816,12121,129
Rochester,5862,362,6157,2933,843
Rochester,18604,2767,6327,10099,2203
Rochester,7775,2518,2495,9464,674
Rochester,17547,2259,4519,4602,1066
Rochester,5572,375,871,2010,3378
Rochester,31266,2381,1917,4469,9401
Rochester,26375,4337,36423,22019,5158
Rochester,22649,4482,9776,13792,2916
Rochester,16169,4003,4230,7595,203
Rochester,9898,242,961,2861,3150
Rochester,14276,100,803,3045,479
Rochester,4113,8604,20484,25957,1158
Rochester,43088,1107,2100,2609,1205
Rochester,22620,1777,5410,7198,3908
Rochester,18815,2134,3610,11107,1141
Rochester,2612,820,4339,3133,2093
Rochester,21632,918,1318,2886,262
Rochester,29729,361,4786,7326,6126
Rochester,1502,483,1979,2262,421
Rochester,688,4239,5491,11091,829
Rochester,29955,862,4362,5428,1733
Rochester,15168,6506,10556,12477,1916
Rochester,4591,6956,15729,16709,38
Rochester,56159,212,555,902,10000
Rochester,24025,1145,4332,4757,9506
Rochester,19176,2575,3065,5956,2032
Rochester,10850,6899,7555,14961,191
Rochester,630,9529,11095,23998,781
Rochester,9670,4618,7027,10471,542
Rochester,5181,7353,22044,21531,1739
Rochester,3103,6792,14069,21955,1670
Rochester,44466,24171,54259,55571,7775
Rochester,11519,5121,6152,10868,583
Rochester,4967,13583,21412,28921,1801
Rochester,6269,609,1095,1980,3862
Rochester,3347,1538,4051,6996,244
Rochester,40721,2587,3916,5876,531
Rochester,491,5611,10473,11532,737
Rochester,27329,204,1449,1947,2436
Rochester,5264,2024,3683,5005,1062
Rochester,4098,17740,29892,26866,2609
Rochester,5417,7572,9933,10487,38
Rochester,13779,227,1970,1648,595
Rochester,6137,3084,5360,8040,123
Rochester,8590,4095,3045,7854,100
Rochester,35942,26701,38369,59598,3255
Rochester,7823,4074,6245,6544,4156
Rochester,9396,7677,11601,15775,2901
Rochester,4760,1247,1227,3250,3722
Rochester,85,24231,20959,45828,35
Rochester,9,3468,34,7,173
Rochester,19913,5141,6759,13462,1254
Rochester,2446,788,7260,3993,5875
Rochester,8352,656,2820,1293,777
Rochester,16705,116,2037,3202,10638
Rochester,18291,4173,1266,21042,5368
Rochester,4420,1321,5139,2661,8871
Rochester,19899,764,5332,8713,8131
Rochester,8190,1901,6343,9794,1282
Rochester,20398,3,1137,53,3
Rochester,717,529,3587,6532,7529
Rochester,12205,12034,12697,28540,868
Rochester,10766,301,1175,2067,2093
Rochester,1640,1202,3259,3655,866
Rochester,7005,610,829,3009,432
Rochester,219,7818,9540,14403,280
Rochester,10362,3537,9232,11009,733
Rochester,20874,550,1563,1783,2324
Rochester,11867,3837,3327,4814,1175
Rochester,16117,40827,46197,92780,1031
Rochester,22925,20070,73498,32114,992
Rochester,43265,1579,5025,8117,6305
Rochester,7864,165,542,4042,9731
Rochester,24904,454,3836,5330,3438
Rochester,11405,69,596,1638,3349
Rochester,12754,627,2762,2530,8688
Rochester,9198,18906,27472,32034,3232
Rochester,11314,71,3090,2062,35010
Rochester,5626,5038,12220,11323,210
Rochester,3,223,20,52,445
Rochester,23,3874,2616,8118,148
Rochester,403,54,254,610,770
Rochester,503,56,112,778,898
Rochester,9658,215,2182,1909,5637
Rochester,11594,8035,7779,12144,3245
Rochester,1420,6766,10810,16267,1597
Rochester,2932,4573,6459,7677,2561
Rochester,56082,1480,3504,8906,18032
Rochester,14100,1491,2132,3445,1329
Rochester,15587,139,1014,3970,914
Rochester,1454,6830,6337,10704,127
Rochester,8797,8969,10646,14886,2474
Rochester,1531,2505,8397,6981,251
Rochester,1406,836,16729,28986,671
Rochester,11818,169,1648,1694,2272
Rochester,12579,6457,11114,17569,810
Rochester,19046,483,2770,2469,8858
Rochester,18044,118,1080,2000,2559
Rochester,11134,276,793,2988,2717
Rochester,11173,310,2521,3355,1512
Rochester,6990,319,3880,5380,1643
Rochester,20049,411,1891,2362,5340
Rochester,8258,266,2344,2147,3889
Rochester,17160,174,1200,3412,2416
Rochester,4020,264,3234,1498,2390
Rochester,12212,25,201,245,1984
Rochester,11170,1976,10769,10814,2188
Rochester,36050,500,1642,2961,4781
Rochester,76237,778,3473,7102,16541
Rochester,19219,349,1840,1658,8193
Rochester,21465,2386,7243,10685,875
Rochester,140,1062,8847,3823,140
Rochester,42312,410,926,1510,1723
Rochester,7149,395,2428,699,6313
Rochester,2101,70,589,314,344
Rochester,14903,955,2032,2479,573
Rochester,9434,256,1042,1235,436
Rochester,7388,47,1882,2174,725
Rochester,6300,199,1289,2591,1163
Rochester,4625,2447,8579,7030,4568
Rochester,3087,721,8080,8282,654
Rochester,13537,249,4257,5034,156
Rochester,5387,637,4979,3343,822
Rochester,17623,960,4280,7305,2281
Rochester,30379,51,13252,5189,315
Rochester,37036,20,7152,8253,2998
Rochester,10405,399,1596,1096,8422
Rochester,18827,516,3677,1988,123
Rochester,22039,12591,8384,34792,47
Rochester,7769,73,1936,2177,930
Rochester,9203,1082,3373,2707,1287
Rochester,5924,283,584,542,4051
Rochester,31812,113,1433,1651,802
Rochester,16225,170,1825,1765,846
Rochester,1289,255,3328,2022,533
Rochester,18840,352,1371,3135,2999
Rochester,3463,302,9250,2368,778
Rochester,622,7,55,137,6
Rochester,1989,11577,10690,19460,226
Rochester,3830,6694,5291,14855,317
Rochester,17773,811,1366,2474,3374
Rochester,2861,4004,6570,9618,933
Rochester,355,8077,7704,14682,398
Rochester,1725,4424,3651,12822,829
Rochester,12434,3,540,283,9
Rochester,15177,232,2024,3810,2661
Rochester,5531,13726,15726,26870,2365
Rochester,5224,3674,7603,8584,2537
Rochester,15615,7108,12653,19858,4427
Rochester,4822,4973,6721,9170,997
Rochester,2926,1680,3195,3268,401
Rochester,5809,79,735,803,1387
Rochester,5414,69,717,2155,2400
Rochester,260,7015,8675,13430,1114
Rochester,200,8773,25862,19816,647
Rochester,955,2840,5479,6536,330
Rochester,514,9836,7677,19805,934
Rochester,286,153,1208,5241,2509
Rochester,2343,4196,7845,11874,52
Rochester,45640,1532,6958,6536,7370
Rochester,12759,20,7330,4533,1749
Rochester,11002,120,7075,4945,1156
Rochester,3157,273,4888,2500,4481
Rochester,12356,1382,6036,8887,407
Rochester,112151,4948,29627,18148,16746
Rochester,694,6907,8533,10518,440
Rochester,36847,239,43950,20170,36538
Rochester,327,334,918,4710,67
Rochester,8170,58,6448,1139,2178
Rochester,3009,949,521,854,3465
Rochester,2438,3459,8002,9819,6270
Rochester,8040,6839,7639,11687,2757
Rochester,834,4027,11577,11522,274
Rochester,16936,118,6250,1981,7333
Rochester,13624,43,295,1381,893
Rochester,5509,187,1461,2251,548
Rochester,180,5618,3485,20292,955
Rochester,7107,355,1012,2974,802
Rochester,17023,330,5139,5230,7885
Oneonta,30624,763,7209,4897,18713
Oneonta,2427,4314,7097,10391,1125
Oneonta,11686,592,2154,6824,3531
Oneonta,9670,402,2280,2112,520
Oneonta,3067,9959,13240,23127,3946
Oneonta,4484,14235,14399,24708,3544
Oneonta,25203,284,11487,9490,5059
Oneonta,583,954,685,2216,465
Oneonta,1956,5,891,5226,13
Oneonta,1107,9265,11711,23596,952
Oneonta,6373,288,780,950,875
Oneonta,2541,5316,4737,6089,2951
Oneonta,1537,3381,3748,5838,1860
Oneonta,5550,12420,12729,16767,860
Oneonta,18567,244,1895,1393,1799
Oneonta,12119,19410,28326,39694,4734
Oneonta,7291,240,1012,2062,1291
Oneonta,3317,3961,6602,6861,1323
Oneonta,2362,5957,6551,11364,910
Oneonta,2806,5828,10765,15538,1376
Oneonta,2532,13308,16599,36486,179
Oneonta,18044,130,1475,2046,2532
Oneonta,18,4797,7504,15205,1283
Oneonta,4155,86,367,1390,2310
Oneonta,14755,56,899,1382,1759
Oneonta,5396,4167,7503,10646,84
Oneonta,5041,256,1115,2856,7494
Oneonta,2790,788,2527,5265,5615
Oneonta,7274,70,659,1499,785
Oneonta,12680,761,3243,4157,656
Oneonta,20782,2568,5921,9212,1757
Oneonta,4042,263,2204,1563,2286
Oneonta,1869,4762,577,572,953
Oneonta,8656,694,2746,2501,6838
Oneonta,11072,955,5989,5615,8317
Oneonta,2344,1566,10678,3828,1441
Oneonta,25962,284,1780,3838,635
Oneonta,964,409,4984,3316,934
Oneonta,15603,325,2703,3833,4263
Oneonta,1838,1216,6380,2824,1220
Oneonta,8635,415,820,3047,2309
Oneonta,18692,28,3838,593,4630
Oneonta,7363,72,475,585,1111
Oneonta,47493,828,2567,3779,5243
Oneonta,22096,343,3575,7041,11419
Oneonta,24929,412,1801,2475,2217
Oneonta,18226,586,659,2914,3746
Oneonta,11210,1682,3576,5119,557
Oneonta,6202,3143,7775,10817,1179
Oneonta,3062,8933,6154,13916,226
Oneonta,8885,430,2428,1777,1772
Oneonta,13569,44,346,489,2073
Oneonta,15671,562,5279,2406,555
Oneonta,8040,918,3795,2070,6344
Oneonta,3191,234,1993,1799,1725
Oneonta,6134,18594,23133,33586,6745
Oneonta,6623,205,1860,4740,7680
Oneonta,29526,363,7961,16966,427
Oneonta,10379,1547,17972,4748,4682
Oneonta,31614,111,489,1495,3239
Oneonta,11092,392,5008,5249,449
Oneonta,8475,3593,1931,1883,5001
Rochester,31012,439,16687,5429,15087
Oneonta,56083,730,4563,2124,6419
Oneonta,53205,967,4959,7336,3005
Oneonta,9193,780,4885,2157,325
Oneonta,7858,49,1110,1094,6821
Oneonta,23257,429,1372,1677,980
Oneonta,2153,2894,1115,6684,4320
Oneonta,1073,5980,9679,15445,55
Oneonta,5909,830,23527,13699,10156
Oneonta,572,4882,9763,22182,2222
Oneonta,20893,737,1222,2576,3974
Oneonta,11908,6374,8053,19847,1064
Oneonta,15218,333,258,1138,2518
Oneonta,4720,197,1032,975,5498
Oneonta,2083,147,5007,1563,1113
Oneonta,514,93,8323,6869,532
Rochester,36817,210,3045,1493,4802
Rochester,894,759,1703,1841,748
Rochester,680,96,1610,223,866
Oneonta,2344,1566,10678,3828,1441
Rochester,27901,603,3749,6964,4477
Rochester,9061,621,829,683,16922
Albany,10617,857,1795,7647,1478
Rochester,11693,274,2317,2543,5838
Rochester,17360,3620,6200,9694,1292
Rochester,3366,167,2884,2431,973
Rochester,12238,2328,7108,6235,1087
Rochester,49063,1041,3965,4252,5975
Rochester,25767,314,3613,2013,10296
Rochester,68951,751,4411,12609,8688
Rochester,40254,436,640,3600,1040
Rochester,7149,1226,2247,1242,1613
Rochester,15354,386,2102,2828,8361
Rochester,16260,445,594,1296,853
Rochester,42786,32,286,471,1387
Rochester,2708,965,2160,2642,502
Rochester,6022,212,3354,3261,2500
Rochester,2838,825,3086,4329,3837
Albany,3996,5952,11103,12469,899
Albany,21273,811,2013,6550,908
Albany,7588,2208,1897,5234,414
Albany,19087,710,1304,3643,3038
Albany,8090,3712,3199,6986,1449
Albany,6758,4538,4560,9965,933
Albany,444,290,879,2060,265
Albany,16448,2662,6243,6360,820
Albany,5283,8752,13316,20399,1811
Albany,2886,6236,5302,9785,358
Albany,2599,10069,3688,13829,488
Albany,161,11783,7460,24773,612
Albany,243,3909,12939,8852,799
Albany,6468,7558,12867,21570,1842
Albany,17327,351,2374,2842,1142
Albany,6987,257,1020,3007,420
Albany,918,6846,20655,13567,1468
Albany,7034,299,1492,2405,12568
Albany,29635,371,2335,8280,3050
Albany,2137,17120,3737,19172,1269
Albany,9784,183,925,2405,4443
Albany,10617,857,1795,7647,1478
Albany,1479,3891,14982,11924,667
Albany,7127,83,1375,2201,2680
Albany,1182,821,3088,6114,982
Albany,11800,706,2713,3558,2126
Albany,9759,12408,25071,17645,1122
Albany,1774,275,3696,2280,515
Albany,9155,228,1897,5167,2714
Albany,15881,1470,713,3315,3696
Albany,13360,1679,944,11593,916
Albany,25977,140,3587,2464,2364
Albany,32717,1272,16784,13626,60870
Albany,4414,387,1610,1431,3501
Albany,542,88,899,1664,407
Albany,16933,210,2209,3389,7847
Albany,5113,492,1486,4583,5123
Albany,9790,182,1786,5109,3564
Albany,11223,9606,14881,26839,1239
Albany,22321,178,3216,1447,2209
Albany,8565,38102,4980,67298,126
Albany,16823,332,928,2743,11556
Albany,27082,4111,6817,10790,1369
Albany,13970,146,1511,1330,653
Albany,9351,442,1347,2611,8171
Albany,3,1505,3,121,15604
Albany,2617,573,1188,5332,9582
Rochester,381,7271,4025,9670,385
Rochester,2320,5162,5763,11238,761
Rochester,255,4595,5758,5923,352
Rochester,1689,15469,6964,26316,1458
Rochester,3043,217,1172,1763,2236
Rochester,1198,3843,2602,8335,396
Rochester,2771,6600,6939,15541,2686
Rochester,27380,4621,7184,12311,2810
Rochester,3428,1184,2380,2028,1342
Rochester,5981,12218,14641,20521,1998
Rochester,3521,173,1099,1997,1794
Rochester,1210,12638,10044,22294,1744
Rochester,608,90,1106,1533,824
Rochester,117,8682,6264,21203,223
Rochester,14039,1333,7393,2548,6381
Rochester,190,184,727,2012,247
Rochester,22686,9,134,218,6
Rochester,37,6747,1275,22272,136
Rochester,759,536,18664,1660,6115
Rochester,796,232,5878,2109,342
Rochester,19746,468,2872,2006,2596
Rochester,4734,159,607,864,1203
Rochester,2121,179,1601,2453,565
Rochester,4627,1335,997,4438,196
Rochester,2615,514,873,1524,1108
Rochester,4692,4515,6128,8025,1624
Rochester,9561,222,2217,1664,1169
Rochester,3477,252,894,534,1453
Rochester,22335,101,1196,2406,2046
Rochester,6211,41,337,683,1090
Rochester,39679,523,3944,4955,1357
Rochester,20105,716,1887,1939,8168
Rochester,3884,397,3801,1641,881
Rochester,15076,1916,6257,7398,1505
Rochester,6338,311,2256,1668,1496
Rochester,5841,476,1450,1162,593
Rochester,3136,4666,8630,13586,5636
Rochester,38793,96,3154,2648,1029
Rochester,3225,68,3294,1902,284
Rochester,4048,813,5164,10391,126
Rochester,28257,600,944,2146,3879
Rochester,17770,246,4591,1617,9931
Rochester,34454,1711,7435,8469,2538
Rochester,1821,397,1364,3450,3999
Rochester,10683,282,21858,15400,3629
Rochester,11635,192,922,1614,2584
Rochester,1206,353,3620,2857,1944
Rochester,20918,231,1916,1573,1957
Rochester,9785,200,848,1172,1678
Rochester,9385,227,1530,1422,3014
Rochester,3352,311,1181,1328,5499
Rochester,2647,95,2761,2313,909
Rochester,518,122,4180,3600,656
Rochester,23632,385,6730,3842,8624
Rochester,12377,149,865,3204,1398
Rochester,9602,841,1316,1263,2921
Rochester,4515,3378,11991,9345,2638
Rochester,11535,64,1666,1428,6842
Rochester,11442,74,1032,582,5387
Rochester,9612,469,577,935,1603
Rochester,4446,153,906,1238,3576
Rochester,27167,92,2801,2128,13222
Rochester,26539,10,4753,5091,19
Rochester,25606,632,11006,4604,130
Rochester,18073,914,4613,3444,4317
Rochester,6884,593,1046,1167,2064
Rochester,25066,1092,5010,5026,9811
Rochester,7362,7883,12844,18683,2858
Rochester,8257,2730,3880,6407,1651
Rochester,8708,2123,3634,6100,2354
Rochester,6633,1860,2096,4563,1383
Rochester,2126,235,3289,3281,1528
Rochester,97,2970,3605,12400,99
Rochester,4983,912,4859,6633,17868
Rochester,5969,1135,1990,3417,5683
Rochester,7842,3540,6046,8552,1689
Rochester,4389,6728,10940,10908,849
Rochester,5065,3485,5499,11055,365
Rochester,660,6740,8494,18622,131
Rochester,8861,1580,3783,2223,636
Rochester,4456,6818,5266,13227,26
Rochester,17063,3415,4847,9053,1031
Rochester,26400,948,1377,4172,835
Rochester,17565,1803,3686,4657,1056
Rochester,16980,3213,2884,12232,877
Rochester,11243,108,2408,2593,15352
Rochester,13134,5079,9347,14316,3146
Rochester,31012,439,16687,5429,15087
Rochester,3047,850,5970,4910,2197
Rochester,8607,84,1750,3580,51
Rochester,3097,241,4230,16483,578
Rochester,8533,1377,5506,5160,13483
Rochester,21117,1328,1162,4754,274
Rochester,1982,356,3218,1493,1540
Rochester,16731,2371,3922,7994,689
Rochester,29703,182,12051,16027,13137
Rochester,39228,93,1431,764,4504
Rochester,14531,14841,15488,30243,433
Rochester,10290,168,1981,2232,1033
Rochester,2787,477,1698,2500,63
Oneonta,15671,562,5279,2406,555
